address,swap_count,total_volume,dex_projects,active_days,avg_trade_size,total_lend_txs,total_lend_volume,lend_projects,lend_active_days,profile
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,7256538,13348400600.23,2,366,1844.19,0,0,0,0,MEV_HFT
0x51c72848c68a965f66fa7a88855f9f7784502a7f,4331209,52880802318.12,6,366,12209.25,0,0,0,0,Institutional_Whale
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,446538,29956509065.94,3,366,68010.17,0,0,0,0,Institutional_Whale
0x1f2f10d1c40777ae1da742455c65828ff36df387,3245966,64366373790.86,16,366,19860.59,20604,-211690.04,2,464,Institutional_Whale
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,1755184,30972611409.77,19,239,17835.07,4469,-1711723.32,2,220,Institutional_Whale
0x5141b82f5ffda4c6fe1e372978f1c5427640a190,1743526,24892393182.23,16,202,14288.6,11850,-167856467.93,2,155,Institutional_Whale
0x9008d19f58aabd9ed0d60971565aa8510560ab41,1475370,30584642561.52,18,366,20956.83,45354,-125427094.55,2,359,Institutional_Whale
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,543040,505813298.38,16,119,932.35,112,-890426.37,1,25,Cross_Protocol_Power_User
0x3611b82c7b13e72b26eb0e9be0613bee7a45ac7c,474678,1692261718.62,17,357,3619.07,863,280935.42,1,178,Cross_Protocol_Power_User
0xaf682de1f2e6f710731121a05a44cb3c1b511f7d,446684,1381327024.8,16,157,3183.96,2117,-28826966.93,3,131,Cross_Protocol_Power_User
0x74de5d4fcbf63e00296fd95d33236b9794016631,1010821,506393030.43,15,366,501.58,0,0,0,0,MEV_HFT
0x1111111254eeb25477b68fb85ed929f73a960582,1522037,2004861722.01,12,366,1317.41,0,0,0,0,MEV_HFT
0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,629193,277802009.6,1,366,441.52,0,0,0,0,Protocol_Loyalist
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,1475596,5307694811.63,15,366,3691.59,1148,-25467752.58,1,226,MEV_HFT
0x365084b05fa7d5028346bd21d842ed0601bab5b8,460067,9481379956.57,15,279,21125.32,1652,-3005453.04,2,230,Institutional_Whale
0x6e4141d33021b52c91c28608403db4a0ffb50ec6,979562,23786409184.65,17,191,24477.41,1383,-94269118.99,2,130,Institutional_Whale
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,979888,3271091907.58,15,119,3344.39,3315,4738018.66,2,114,Cross_Protocol_Power_User
0x50d3865a63d52c0a54e4679949647ea752107390,847003,7095711592.32,16,366,8833.74,8602,-1595436.5,2,340,Cross_Protocol_Power_User
0x8c864d0c8e476bf9eb9d620c10e1296fb0e2f940,508789,4862318070.39,16,64,9560.05,2215,-44612239.44,2,58,Cross_Protocol_Power_User
0xd226997439ecfbeff8e110c8c78c8a7eefd19f89,509081,686438083.64,17,176,1376.71,13,-56128.5,1,12,Cross_Protocol_Power_User
