name,date,amount_m,category,chain,technique,protocol_affected,reference
"Ronin Bridge Exploit",2022-03-29,624.0,Bridge,Ethereum/Sidechain,Validator Compromise,"Ronin Bridge (Axie Infinity)","https://rekt.news/ronin-rekt/"
"BNB Bridge Exploit",2022-10-07,568.0,Bridge,BNB Chain,Signature Forgery,"BNB Token Hub","https://rekt.news/bnb-bridge-rekt/"
"FTX Collapse",2022-11-11,8500.0,CEX,Multi-chain,Fraud,"FTX","https://rekt.news/ftx-rekt/"
"Euler Finance Hack",2023-03-13,197.0,Lending,Ethereum,Flash Loan Attack,"Euler Finance","https://rekt.news/euler-finance-rekt/"
"Curve Vyper Exploit",2023-07-30,73.0,DEX,Ethereum,Reentrancy,"Curve Finance (Vyper)","https://rekt.news/curve-vyper-rekt/"
"KyberSwap Elastic Hack",2023-11-22,54.7,DEX,Multi-chain,Price Manipulation,"KyberSwap","https://rekt.news/kyberswap-rekt/"
"Mango Markets Exploit",2022-10-11,114.0,DEX,Solana,Oracle Manipulation,"Mango Markets","https://rekt.news/mango-markets-rekt/"
"Radiant Capital Hack",2024-10-16,50.0,Lending,Arbitrum,Oracle Manipulation,"Radiant Capital","https://rekt.news/radiant-capital-rekt/"
"Cream Finance Hack",2021-10-27,130.0,Lending,Ethereum,Flash Loan Attack,"Cream Finance","https://rekt.news/cream-rekt/"
"BadgerDAO Hack",2021-12-02,120.0,Yield,Ethereum,Frontend Injection,"BadgerDAO","https://rekt.news/badger-rekt/"
"PancakeBunny Exploit",2021-05-20,45.0,Yield,BNB Chain,Flash Loan Attack,"PancakeBunny","https://rekt.news/pancakebunny-rekt/"
"Wintermute Hack",2022-09-20,160.0,Market Maker,Ethereum,Private Key Leak,"Wintermute","https://rekt.news/wintermute-rekt/"
"Nomad Bridge Hack",2022-08-02,190.0,Bridge,Multi-chain,Smart Contract Bug,"Nomad Bridge","https://rekt.news/nomad-rekt/"
"Wormhole Bridge Hack",2022-02-03,326.0,Bridge,Ethereum/Solana,Smart Contract Bug,"Wormhole Bridge","https://rekt.news/wormhole-rekt/"
"Beanstalk Farms Exploit",2022-04-17,182.0,Yield,Ethereum,Governance Attack,"Beanstalk","https://rekt.news/beanstalk-rekt/"
"Harmony Bridge Hack",2022-06-24,100.0,Bridge,Harmony,Private Key Leak,"Horizon Bridge","https://rekt.news/harmony-rekt/"
"Poloniex Hack",2023-11-10,126.0,CEX,Ethereum,Private Key Leak,"Poloniex","https://rekt.news/poloniex-rekt/"
"Orbit Chain Hack",2024-01-01,81.0,Bridge,Multi-chain,Private Key Leak,"Orbit Chain","https://rekt.news/orbit-chain-rekt/"
"UwU Lend Exploit",2024-06-10,19.5,Lending,Ethereum,Oracle Manipulation,"UwU Lend","https://rekt.news/uwu-lend-rekt/"
"Bybit Hack",2025-02-21,1500.0,CEX,Ethereum,UI Spoofing / Social Engineering,"Bybit","https://rekt.news/bybit-rekt/"
